OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG7C06G1	0.3046875	409.134615385	640	52	high	41.8665872583446
EOG7C06GB	0.322033898305	399.55	649	40	medium	39.3757956730426
EOG7C06GW	0.236203090508	252.921568627	453	51	high	37.1800845964176
EOG7C32Q7	0.326732673267	554.735849057	909	53	high	43.7027534675732
EOG7C32QJ	0.263318112633	396.48	657	50	high	39.1720305326374
EOG7C5XXR	0.225626740947	297.296296296	359	27	medium	42.3573061436206
EOG7C5XZ4	0.229545454545	617.339622642	880	53	high	46.2546699249836
EOG7C5XZ6	0.356127886323	564.384615385	1126	52	high	44.9815557602444
EOG7C8T73	0.188888888889	207	450	25	medium	36.7546580636442
EOG7C8T74	0.247549019608	191.954545455	408	44	high	38.9077132502899
EOG7C8T79	0.136815920398	241.075471698	402	53	high	46.6897962688677
EOG7CCPDK	0.174938974776	874.666666667	1229	51	high	37.6277149831222
EOG7CGJNV	0.305369127517	674.541666667	894	48	high	44.8236401797344
EOG7CGJPS	0.193426042984	424.096153846	791	52	high	50.4138985256418
EOG7CGJPV	0.157453936348	286.549019608	597	51	high	37.4964511229055
EOG7CS5D0	0.185351270553	437.28	669	25	medium	35.0005217841764
EOG7CW1N9	0.248971193416	653.7	972	30	medium	42.4976844839173
EOG7CZWV8	0.366666666667	644.703703704	960	27	medium	39.055531015261
EOG7CZWWT	0.293560606061	280.106382979	528	47	high	46.9550197085356
EOG7D5NB4	0.259782608696	652.754716981	920	53	high	37.3786566135354
EOG7D5NB5	0.222108495394	659.301886792	977	53	high	41.7979380582986
EOG7D5NB9	0.223198594025	329.860465116	569	43	high	43.2455798954574
EOG7D5NBB	0.24163969795	489.866666667	927	45	high	39.2171133747838
EOG7D5NBF	0.239884393064	115.176470588	346	51	high	40.5921356205133
EOG7D5NCM	0.141689373297	187.465116279	367	43	high	36.5082159322102
EOG7D8HK1	0.248741188318	613.339622642	993	53	high	40.3744612166457
EOG7D8HKS	0.211150652432	593.596153846	843	52	high	37.368500226825
EOG7DG82W	0.286377708978	448.037735849	646	53	high	34.4013341512736
